,Key,Function
1580,2418,answering questions
1581,2417,inviting
1582,2417,explaining
1583,2417,asking for a reason
1584,2416,answering the phone
1585,2416,asking questions
1586,2416,expressing surprise
1587,2416,worrying
1588,2415,complaining
1589,2415,commanding
1590,2415,suggesting
1592,2414,describing people
1593,2414,praising
1594,2414,criticizing
1595,2413,praising
1596,2413,describing people
1597,2413,expressing enthusiasm
1598,2413,expressing opinions
1599,2412,discussing
1600,2412,making decisions
1601,2412,convincing
1602,2411,making a phone call
1603,2411,confirming
1604,2411,asking questions
1605,2410,explaining
1606,2410,expressing surprise
1607,2410,giving examples
1610,2409,suggesting
1611,2409,asking for help
1612,2409,shopping
1613,2408,suggesting
1614,2408,commanding
1615,2407,interviewing
1616,2407,expressing anger
1617,2407,explaining
1618,2407,to comfort
1619,2406,expressing opinions
1620,2406,informing
1621,2406,recommending
1622,2406,expressing agreement
1623,2405,asking for a reason
1624,2405,denying
1625,2405,expressing surprise
1627,2404,greetings
1628,2404,small talk
1629,2404,expressing surprise
1630,2403,expressing interests
1631,2403,giving instructions
1632,2403,taking taxi
1633,2402,asking for directions
1634,2402,looking for something
1635,2401,debating
1636,2401,investigating
1637,2401,expressing opinions
1638,2400,expressing doubt
1639,2400,asking questions
1640,2400,suggesting
1641,2400,making decisions
1644,2399,suggesting
1645,2399,selling
1646,2399,choosing
1647,2398,greetings
1648,2398,comparing
1649,2398,describing
1650,2397,complaining
1651,2397,comparing
1652,2397,describing problems
1653,2396,ordering
1654,2396,comparing
1655,2396,describing
1656,2395,asking price
1657,2395,answering questions
1658,2395,asking permission
1661,2394,expressing surprise
1662,2394,explaining
1663,2394,giving reasons
1664,2393,arguing
1665,2393,objecting
1666,2393,negotiating
1667,2392,asking for a reason
1668,2392,comparing
1669,2392,complaining
1670,2392,expressing opinions
1671,2391,asking questions
1672,2391,comparing
1673,2391,buying tickets
1674,2390,comparing
1675,2390,suggesting
1676,2390,asking questions
1679,2389,suggesting
1680,2389,discussing
1681,2389,persuading
1682,2388,asking questions
1683,2388,suggesting
1684,2388,passive
1685,2387,expressing opinions
1686,2387,expressing agreement
1687,2387,wishing
1688,2386,asking for help
1689,2386,giving instructions
1690,2386,asking for a reason
1691,2385,asking for help
1692,2385,describing problems
1695,2384,addressing people
1696,2384,discussing
1697,2384,expressing opinions
1698,2383,assigning tasks
1699,2383,commanding
1700,2383,giving instructions
1701,2382,giving instructions
1702,2382,correcting
1703,2382,confirming
1704,2381,expressing opinions
1705,2381,arguing
1706,2380,cheering
1707,2380,describing places
1710,2379,leaving
1711,2379,expressing pain
1712,2379,comforting
1713,2378,commanding
1714,2378,negotiating
1715,2378,suggesting
1716,2377,analyzing
1717,2377,guessing
1718,2377,describing problems
1719,2376,expressing concern
1720,2376,suggesting
1721,2376,denying
1722,2375,calling people names
1725,2374,expressing anger
1726,2374,expressing pain
1727,2374,complaining
1728,2374,arguing
1729,2373,asking questions
1730,2373,choosing
1731,2373,describing
1732,2372,expressing interests
1733,2372,giving reasons
1734,2372,recommending
1735,2371,comparing
1736,2371,choosing
1737,2370,expressing enthusiasm
1738,2370,asking questions
1739,2370,greetings
1742,2369,asking questions
1743,2369,suggesting
1744,2368,asking permission
1745,2368,expressing agreement
1746,2368,refusing
1747,2367,dealing with praise
1748,2367,making suggestions
1749,2367,explaining
1750,2367,criticizing
1751,2366,asking price
1752,2366,buying tickets
1753,2366,expressing concern
1754,2366,making offers
1755,2365,wishing
1756,2365,celebrating
1759,2364,asking price
1760,2364,discussing
1761,2364,describing
1762,2364,expressing surprise
1763,2363,complaining
1764,2363,criticizing
1765,2363,describing problems
1766,2363,worrying
1767,2362,selling
1768,2362,complaining
1769,2361,expressing opinions
1770,2360,expressing concern
1771,2360,explaining
1772,2360,making requests
1775,2359,asking questions
1776,2359,expressing interests
1777,2358,giving instructions
1778,2358,asking for help
1779,2357,answering questions
1780,2357,asking for help
1781,2357,suggesting
1782,2356,describing actions
1783,2356,expressing interests
1784,2356,giving directions
1785,2355,refusing
1786,2355,convincing
1789,2354,disagreeing
1790,2354,discussing
1791,2354,convincing
1792,2353,arguing
1793,2353,negotiating
1794,2352,analyzing
1795,2352,ending a conversation
1796,2352,informing
1797,2351,requesting
1798,2350,confirming
1799,2350,expressing experience
1800,2350,expressing doubt
1801,2350,making inquiries
1803,QW0336,helping
1804,QW0336,comparing
1805,2349,suggesting
1806,2349,discussing
1807,2349,negotiating
1808,2349,describing people
1809,2348,asking for help
1810,2348,complaining
1811,2348,discussing
1812,2347,reminding
1813,2347,expressing anger
1815,QW0335,comforting
1816,2346,planning
1817,2346,arguing
1818,2346,persuading
1819,2345,explaining
1820,2345,expressing surprise
1821,2344,complaining
1822,2344,comparing
1823,2344,suggesting
1825,QW0334,wishing
1826,2343,comparing
1827,2343,explaining
1828,2343,wishing
1829,2342,describing problems
1830,2342,expressing opinions
1831,2341,comparing
1832,2341,reminding
1833,2341,inviting
1835,QW0333,describing people
1836,QW0333,explaining
1837,2340,describing problems
1838,2340,complaining
1839,2339,asking for help
1840,2339,analyzing
1841,2339,expressing disbelief
1842,2338,explaining
1843,2338,ordering food
1844,2337,describing problems
1845,2337,expressing opinions
1846,2336,expressing disappointment
1847,2336,describing problems
